"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 0.25 CN High Both UPC 1.2E-05","4.152E-07","0.9812","143","All",1,0.999925,7.5324E-05,0.5,7.5324E-5,7.5324E-05,1,7.5324E-05,1.00003E-05,4.5,4,0.493746,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,1,0.1875,0.1875,,,7.5324E-05,,,,,0,0,0,,9.99994,9.99993,19.9999,0.000130856,1000,1000,7.5324E-06,1.7889E-5,0,1.78894E-5,4.24874E-06,0,0.000113324,0.000120856,4.8E-05,6.53237E-05,0,6.53237E-05,0,7.5324E-05,0.1875,0,0,0,0,0,0,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,7.5324E-05,7.5324E-05,0.999925,0,7.5324E-05,0,0,0,0
"MODRA CM 0.25 CN High Both UPC 1.2E-05","4.152E-07","0.9812","143","NoDispute",0.9999,1,0,0.500003,0,0,1,0,0,4.50002,4,0.493747,0.124998,0.124999,0.124999,0.125,0.125,0.125001,0.125001,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99995,20,4.8E-05,1000,1000,0,0,0,0,0,0,4.8E-05,4.8E-05,4.8E-05,0,0,0,0,0,,0,0,0,,0,0,0.10283,0.127186,0.135105,0.134876,0.134876,0.135107,0.127188,0.102832,0.10283,0.127186,0.135105,0.134876,0.134876,0.135107,0.127188,0.102832,0,0,1,0,0,0,0,0,0
"MODRA CM 0.25 CN High Both UPC 1.2E-05","4.152E-07","0.9812","143","DisputeArises",7.5E-5,0,1,0.463964,1,1,1,1,0.132764,4.21171,4,0.473127,0.156047,0.142934,0.131942,0.123411,0.117003,0.112371,0.109253,0.107039,1,1,0.1875,0.1875,,,1,,,,,0,0,0,,9.1375,9.76245,18.9,1.10005,999.139,999.887,0.1,0.2375,0,0.2375,0.0564062,0,0.867284,0.967284,4.8E-05,0.867236,0,0.867236,0,1,0.1875,0,0,0,0,0,0,0.118059,0.142422,0.145706,0.138326,0.13071,0.124225,0.112268,0.0882843,0.118059,0.142422,0.145706,0.138326,0.13071,0.124225,0.112268,0.0882843,1,1,0,0,1,0,0,0,0
"MODRA CM 0.25 CN High Both UPC 1.2E-05","4.152E-07","0.9812","143","PFiles",7.5E-5,0,1,0.463964,1,1,1,1,0.132764,4.21171,4,0.473127,0.156047,0.142934,0.131942,0.123411,0.117003,0.112371,0.109253,0.107039,1,1,0.1875,0.1875,,,1,,,,,0,0,0,,9.1375,9.76245,18.9,1.10005,999.139,999.887,0.1,0.2375,0,0.2375,0.0564062,0,0.867284,0.967284,4.8E-05,0.867236,0,0.867236,0,1,0.1875,0,0,0,0,0,0,0.118059,0.142422,0.145706,0.138326,0.13071,0.124225,0.112268,0.0882843,0.118059,0.142422,0.145706,0.138326,0.13071,0.124225,0.112268,0.0882843,1,1,0,0,1,0,0,0,0
"MODRA CM 0.25 CN High Both UPC 1.2E-05","4.152E-07","0.9812","143","DAnswers",7.5E-5,0,1,0.463964,1,1,1,1,0.132764,4.21171,4,0.473127,0.156047,0.142934,0.131942,0.123411,0.117003,0.112371,0.109253,0.107039,1,1,0.1875,0.1875,,,1,,,,,0,0,0,,9.1375,9.76245,18.9,1.10005,999.139,999.887,0.1,0.2375,0,0.2375,0.0564062,0,0.867284,0.967284,4.8E-05,0.867236,0,0.867236,0,1,0.1875,0,0,0,0,0,0,0.118059,0.142422,0.145706,0.138326,0.13071,0.124225,0.112268,0.0882843,0.118059,0.142422,0.145706,0.138326,0.13071,0.124225,0.112268,0.0882843,1,1,0,0,1,0,0,0,0
"MODRA CM 0.25 CN High Both UPC 1.2E-05","4.152E-07","0.9812","143","Litigated",7.5E-5,0,1,0.463964,1,1,1,1,0.132764,4.21171,4,0.473127,0.156047,0.142934,0.131942,0.123411,0.117003,0.112371,0.109253,0.107039,1,1,0.1875,0.1875,,,1,,,,,0,0,0,,9.1375,9.76245,18.9,1.10005,999.139,999.887,0.1,0.2375,0,0.2375,0.0564062,0,0.867284,0.967284,4.8E-05,0.867236,0,0.867236,0,1,0.1875,0,0,0,0,0,0,0.118059,0.142422,0.145706,0.138326,0.13071,0.124225,0.112268,0.0882843,0.118059,0.142422,0.145706,0.138326,0.13071,0.124225,0.112268,0.0882843,1,1,0,0,1,0,0,0,0
"MODRA CM 0.25 CN High Both UPC 1.2E-05","4.152E-07","0.9812","143","Not Litigated",0.9999,1,0,0.500003,0,0,1,0,0,4.50002,4,0.493747,0.124998,0.124999,0.124999,0.125,0.125,0.125001,0.125001,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99995,20,4.8E-05,1000,1000,0,0,0,0,0,0,4.8E-05,4.8E-05,4.8E-05,0,0,0,0,0,,0,0,0,,0,0,0.10283,0.127186,0.135105,0.134876,0.134876,0.135107,0.127188,0.102832,0.10283,0.127186,0.135105,0.134876,0.134876,0.135107,0.127188,0.102832,0,0,1,0,0,0,0,0,0
"MODRA CM 0.25 CN High Both UPC 1.2E-05","4.152E-07","0.9812","143","Settles",7.5E-5,0,1,0.463964,1,1,1,1,0.132764,4.21171,4,0.473127,0.156047,0.142934,0.131942,0.123411,0.117003,0.112371,0.109253,0.107039,1,1,0.1875,0.1875,,,1,,,,,0,0,0,,9.1375,9.76245,18.9,1.10005,999.139,999.887,0.1,0.2375,0,0.2375,0.0564062,0,0.867284,0.967284,4.8E-05,0.867236,0,0.867236,0,1,0.1875,0,0,0,0,0,0,0.118059,0.142422,0.145706,0.138326,0.13071,0.124225,0.112268,0.0882843,0.118059,0.142422,0.145706,0.138326,0.13071,0.124225,0.112268,0.0882843,1,1,0,0,1,0,0,0,0
"MODRA CM 0.25 CN High Both UPC 1.2E-05","4.152E-07","0.9812","143","Tried",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MODRA CM 0.25 CN High Both UPC 1.2E-05","4.152E-07","0.9812","143","PWins",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
