"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 4 FSM 0 DM 1 LT 1 UPC 8E-06","1.513E-06","0.9644","321","All",1,0.999925,7.5324E-05,0.5,7.595E-11,1.92247E-11,1,7.5324E-05,1.00038E-05,4.5,4,0.740619,0.125001,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.0748884,0.062501,,,1.88646E-11,,,,,2.67528E-17,1.37594E-18,3.6E-13,0.551987,9.99992,9.99997,19.9999,0.000107324,9.99992,9.99997,5.37389E-11,2.912E-11,1.6769E-5,1.67687E-5,2.75299E-11,1.67686E-05,9.73204E-05,9.73204E-05,3.20002E-05,6.53202E-05,1.41209E-05,5.11993E-05,0,1.8865E-11,0.0625006,2.67528E-17,1.37594E-18,8.2181E-24,0.222621,0,3.09392E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,7.5953E-11,1.92247E-11,1,5.67285E-11,1.88646E-11,2.67528E-17,1.37594E-18,1.613E-13,1.987E-13
"Risk Neutral CM 4 FSM 0 DM 1 LT 1 UPC 8E-06","1.513E-06","0.9644","321","NoDispute",0.9999,1,0,0.500003,0,0,1,0,0,4.50002,4,0.740621,0.124998,0.124999,0.124999,0.125,0.125,0.125001,0.125001,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,3.20002E-05,10,9.99997,0,0,0,0,0,0,3.20002E-05,3.20002E-05,3.20002E-05,0,0,0,0,0,,0,0,0,,0,1.46285E-15,0.10283,0.127186,0.135105,0.134876,0.134876,0.135107,0.127188,0.102832,0.10283,0.127186,0.135105,0.134876,0.134876,0.135107,0.127188,0.102832,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 4 FSM 0 DM 1 LT 1 UPC 8E-06","1.513E-06","0.9644","321","DisputeArises",7.5E-5,0,1,0.464231,1.0084E-6,2.55227E-07,1,1,0.13281,4.21385,4,0.71006,0.161767,0.143466,0.128544,0.119295,0.113642,0.110665,0.110828,0.111792,1,1,0.0748884,0.062501,,,2.50447E-07,,,,,3.5517E-13,1.8267E-14,4.78E-09,0.551987,9,9.99997,19,1.00003,9,9.99997,7.13437E-07,3.8654E-7,0.22262,0.222621,3.65487E-07,0.22262,0.867222,0.867222,3.2E-05,0.86719,0.187469,0.679721,0,2.50447E-7,0.0625006,3.5517E-13,1.8267E-14,1.09103E-19,0.222621,0,-8.55914E-14,0.118059,0.142422,0.145706,0.138326,0.13071,0.124225,0.112268,0.0882843,0.118059,0.142422,0.145706,0.138326,0.13071,0.124225,0.112268,0.0882843,1.00835E-6,2.55227E-07,0.999999,7.53127E-07,2.50447E-07,3.5517E-13,1.8267E-14,2.14138E-9,2.6383E-9
"Risk Neutral CM 4 FSM 0 DM 1 LT 1 UPC 8E-06","1.513E-06","0.9644","321","PFiles",8E-11,0,1,0.532736,1,0.253112,1,1,0.108988,4.76189,1.65618,1.09192,0.111967,0.108237,0.1097,0.117073,0.125904,0.133928,0.142568,0.150623,1,1,0.0748884,0.062501,,,0.248372,,,,,3.52227E-07,1.81156E-08,0.00474,0.551987,9.26189,9.03057,18.2925,1.70754,9.26189,9.03057,0.707527,0.383342,0.31182,0.695162,0.362459,0.254305,0.891025,1.59855,1.32494E-05,0.891012,0.528975,0.362036,0,0.248372,0.0625006,3.52227E-07,1.81156E-08,1.08199E-13,0.593348,0,0.145395,0.0810741,0.0993615,0.104132,0.134677,0.1606,0.157492,0.145921,0.116741,0.0888534,0.113079,0.125612,0.132736,0.140122,0.145731,0.13988,0.113986,1,0.253112,0,0.746888,0.248372,3.52227E-07,1.81156E-08,0.00212364,0.0026165
"Risk Neutral CM 4 FSM 0 DM 1 LT 1 UPC 8E-06","1.513E-06","0.9644","321","DAnswers",2E-11,0,1,0.454509,1,1,1,1,0.128817,4.13608,3.66952,0.746592,0.140867,0.141574,0.147744,0.147288,0.130112,0.107759,0.0946859,0.0899704,1,1,0.0748884,0.062501,,,0.981271,,,,,1.39159E-06,7.15715E-08,0.018727,0.551987,8.26418,9.12081,17.385,2.61501,8.26418,9.12081,1.61498,0.686465,0.382836,1.0693,0.603959,0.665071,0.871212,2.48619,2.93562E-05,0.871183,0.188147,0.683036,0,0.981271,0.0625006,1.39159E-06,7.15715E-08,4.27476E-13,0.22144,0,0.574428,0.09255,0.111649,0.114223,0.162385,0.183371,0.143852,0.111875,0.0800938,0.123284,0.165843,0.199085,0.154717,0.102468,0.097384,0.08801,0.0692087,1,1,0,0,0.981271,1.39159E-06,7.15715E-08,0.00839011,0.0103373
"Risk Neutral CM 4 FSM 0 DM 1 LT 1 UPC 8E-06","1.513E-06","0.9644","321","Litigated",2E-11,0,1,0.454509,1,1,1,1,0.128817,4.13608,3.66952,0.746592,0.140867,0.141574,0.147744,0.147288,0.130112,0.107759,0.0946859,0.0899704,1,1,0.0748884,0.062501,,,0.981271,,,,,1.39159E-06,7.15715E-08,0.018727,0.551987,8.26418,9.12081,17.385,2.61501,8.26418,9.12081,1.61498,0.686465,0.382836,1.0693,0.603959,0.665071,0.871212,2.48619,2.93562E-05,0.871183,0.188147,0.683036,0,0.981271,0.0625006,1.39159E-06,7.15715E-08,4.27476E-13,0.22144,0,0.574428,0.09255,0.111649,0.114223,0.162385,0.183371,0.143852,0.111875,0.0800938,0.123284,0.165843,0.199085,0.154717,0.102468,0.097384,0.08801,0.0692087,1,1,0,0,0.981271,1.39159E-06,7.15715E-08,0.00839011,0.0103373
"Risk Neutral CM 4 FSM 0 DM 1 LT 1 UPC 8E-06","1.513E-06","0.9644","321","Not Litigated",1,0.999925,7.5324E-05,0.5,5.673E-11,0,1,7.5324E-05,1.00038E-05,4.5,4,0.740619,0.125001,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99992,9.99997,19.9999,0.000107324,9.99992,9.99997,2.26914E-11,1.592E-11,1.6769E-5,1.67687E-5,1.5919E-11,1.67686E-05,9.73203E-05,9.73204E-05,3.20002E-05,6.53202E-05,1.41209E-05,5.11993E-05,0,0,,0,0,0,0.222621,0,-1.10389E-11,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,5.6729E-11,0,1,5.67285E-11,0,0,0,0,0
"Risk Neutral CM 4 FSM 0 DM 1 LT 1 UPC 8E-06","1.513E-06","0.9644","321","Settles",2E-11,0,1,0.451459,1,1,1,1,0.129001,4.11167,3.69352,0.740229,0.143516,0.144025,0.149421,0.146834,0.127278,0.104853,0.0935882,0.0904854,1,1,0.0625003,0.062501,,,1,,,,,0,0,0,,8.2625,9.13747,17.4,2.60003,8.2625,9.13747,1.6,0.678744,0.370176,1.04892,0.585417,0.643181,0.871028,2.47103,2.95481E-05,0.870999,0.18066,0.690339,0,1,0.0625006,0,0,0,0.213051,0,0.496916,0.0943163,0.11378,0.116403,0.165485,0.186871,0.146598,0.106018,0.0705296,0.124429,0.165408,0.193582,0.152696,0.104423,0.0992426,0.0896897,0.0705296,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 4 FSM 0 DM 1 LT 1 UPC 8E-06","1.513E-06","0.9644","321","Tried",4E-13,0,1,0.614362,1,1,1,1,0.119171,5.4149,2.41212,1.07997,0.00208891,0.0131188,0.0598497,0.171094,0.278622,0.260038,0.152201,0.0629872,1,1,0.723956,0.0625007,,,0,,,,,0,0,1,0.551987,8.35199,8.24799,16.6,3.40002,8.35199,8.24799,2.4,1.09103,1.04618,2.1372,1.57553,1.81206,0.880848,3.28085,1.9297E-05,0.880829,0.580484,0.300345,0,0,,0,0,0,0.660961,0,4.63585,1.88366E-12,1.09496E-06,1.14658E-06,7.80401E-07,4.52002E-07,2.2912E-07,0.41876,0.581236,0.0632993,0.188632,0.487468,0.2606,1.08274E-07,1.58790E-12,1.36482E-12,1.08294E-12,1,1,0,0,0,0,0,0.448013,0.551987
"Risk Neutral CM 4 FSM 0 DM 1 LT 1 UPC 8E-06","1.513E-06","0.9644","321","PWins",2E-13,0,1,0.64128,1,1,1,1,0.119441,5.63024,2.37878,1.11117,0.000848811,0.00682389,0.0398307,0.141122,0.271035,0.2836,0.178933,0.0778075,1,1,0.722209,0.0625007,,,0,,,,,0,0,1,1,8.8,7.79998,16.6,3.40002,8.8,7.79998,2.4,1.46096,0.886842,2.34781,2.32728,1.06421,0.880578,3.28058,1.90302E-05,0.880559,0.649348,0.231211,0,0,,0,0,0,0.739035,0,4.60046,5.97701E-13,8.02291E-07,9.63611E-07,7.26145E-07,4.71677E-07,2.67794E-07,0.426474,0.573523,0.0516067,0.17735,0.51743,0.253613,1.14696E-07,9.62702E-13,9.03332E-13,7.93795E-13,1,1,0,0,0,0,0,0,1
"Risk Neutral CM 4 FSM 0 DM 1 LT 1 UPC 8E-06","1.513E-06","0.9644","321","DWins",2E-13,0,1,0.581197,1,1,1,1,0.118838,5.14958,2.45321,1.04154,0.00361681,0.0208745,0.0845147,0.208023,0.28797,0.231009,0.119265,0.0447275,1,1,0.726108,0.0625007,,,0,,,,,0,0,1,0,7.8,8.79998,16.6,3.40002,7.8,8.79998,2.4,0.635233,1.24249,1.87772,0.649327,2.73347,0.881182,3.28118,1.96256E-05,0.881162,0.495638,0.385524,0,0,,0,0,0,0.564767,0,4.67946,3.46805E-12,1.45554E-06,1.37202E-06,8.47248E-07,4.27761E-07,1.8147E-07,0.409255,0.59074,0.0777055,0.202532,0.450552,0.26921,1.00362E-07,2.35818E-12,1.9334E-12,1.43918E-12,1,1,0,0,0,0,0,1,0
"Risk Neutral CM 4 FSM 0 DM 1 LT 1 UPC 8E-06","1.513E-06","0.9644","321","Abandoned",3E-17,0,1,0.45931,1,1,1,1,0.127916,4.17448,3.56554,0.764429,0.144383,0.141977,0.144612,0.140757,0.122846,0.104661,0.099027,0.101736,1,1,0.577273,0.0696417,,,0,,,,,0.951084,0.0489158,0,,8.24892,9.15106,17.4,2.60003,8.24892,9.15106,1.6,0.64693,0.39395,1.04088,0.530467,0.675721,0.872112,2.47211,2.85243E-05,0.872084,0.206685,0.665398,0,0,,0.951084,0.0489158,2.9216E-07,0.242048,0,0.522094,0.100384,0.107999,0.113639,0.158409,0.177237,0.138536,0.115494,0.088302,0.12132,0.171566,0.186298,0.146214,0.102004,0.101579,0.0947273,0.0762909,1,1,0,0,0,0.951084,0.0489158,0,0
"Risk Neutral CM 4 FSM 0 DM 1 LT 1 UPC 8E-06","1.513E-06","0.9644","321","PrecPower1",0.125,0.999903,9.74786E-05,0.0625,6.803E-11,2.16649E-11,1,9.74786E-05,1.07988E-05,1,4,0.371045,1,0,0,0,0,0,0,0,1,1,0.0626564,0.0625009,,,2.16589E-11,,,,,3.19332E-17,5.5707E-19,6.02E-15,0.224295,9.9999,9.99997,19.9999,0.000129479,9.9999,9.99997,5.32160E-11,6.506E-11,0,6.5058E-11,6.24939E-11,0,0.00011868,0.00011868,3.20002E-05,8.66798E-05,0,8.66798E-05,0,2.1659E-11,0.0625005,3.19332E-17,5.5707E-19,7.39406E-24,0,0,0.93671,0.224522,0.243921,0.207842,0.14645,0.0898711,0.0498813,0.02551,0.0120032,0.394013,0.326145,0.184955,0.0718393,0.0191031,0.00347586,0.000432504,3.67801E-05,6.8033E-11,2.16649E-11,1,4.63684E-11,2.16589E-11,3.19332E-17,5.5707E-19,4.667E-15,1.349E-15
