"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 0.25 CN 0.4 FSM 2","7.338E-09","0.4211","366","All",1,0.999909,9.058E-05,0.5,9.058E-05,9.05799E-05,1,9.058E-05,9.99919E-06,4.5,2,0.869971,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125001,1,1,0.157251,0.0625009,,,7.08994E-05,,,,,8.27647E-11,2.13609E-12,1.968E-5,0.201843,9.99991,9.99997,19.9999,0.000120622,9.99991,9.99997,1.0042E-05,7.3946E-6,3.1926E-5,3.93205E-5,1.29763E-06,3.54643E-05,0.000100581,0.000110623,2.00002E-05,8.05808E-05,2.89794E-05,5.16014E-05,0,7.08994E-5,0.0625006,8.27647E-11,2.13609E-12,1.57105E-17,0.36183,0,-1.93576E-14,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,9.05799E-5,9.05799E-05,0.999909,1.81232E-11,7.08994E-05,8.27647E-11,2.13609E-12,1.57081E-5,3.9724E-6
"Risk Neutral CM 0.25 CN 0.4 FSM 2","7.338E-09","0.4211","366","NoDispute",0.9999,1,0,0.500001,0,0,1,0,0,4.50001,2,0.869971,0.124999,0.124999,0.125,0.125,0.125,0.125,0.125001,0.125001,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,2.00002E-05,10,9.99998,0,0,0,0,0,0,2.00002E-05,2.00002E-05,2.00002E-05,0,0,0,0,0,,0,0,0,,0,2.13374E-15,0.10283,0.127186,0.135105,0.134876,0.134876,0.135106,0.127187,0.102832,0.10283,0.127186,0.135105,0.134876,0.134876,0.135106,0.127187,0.102832,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 0.25 CN 0.4 FSM 2","7.338E-09","0.4211","366","DisputeArises",9.1E-5,0,1,0.488615,1,1,1,1,0.110391,4.40892,2,0.860334,0.136723,0.131407,0.126659,0.122934,0.120447,0.119493,0.120219,0.122119,1,1,0.157251,0.0625009,,,0.782727,,,,,9.1372E-07,2.35824E-08,0.217272,0.201843,9.01791,9.87121,18.8891,1.11088,9.01791,9.87121,0.110864,0.0816359,0.352462,0.434098,0.0143257,0.391525,0.889629,1.00049,2E-05,0.889609,0.319932,0.569678,0,0.782727,0.0625006,9.1372E-07,2.35824E-08,1.73443E-13,0.36183,0,-4.91739E-13,0.109546,0.133865,0.139698,0.136304,0.132984,0.130331,0.120714,0.0965582,0.109546,0.133865,0.139698,0.136304,0.132984,0.130331,0.120714,0.0965582,1,1,2.0008E-07,2.0008E-07,0.782727,9.1372E-07,2.35824E-08,0.173417,0.0438547
"Risk Neutral CM 0.25 CN 0.4 FSM 2","7.338E-09","0.4211","366","PFiles",9.1E-5,0,1,0.488615,1,1,1,1,0.110391,4.40892,2,0.860334,0.136723,0.131407,0.126659,0.122934,0.120447,0.119493,0.120219,0.122119,1,1,0.157251,0.0625009,,,0.782727,,,,,9.1372E-07,2.35824E-08,0.217272,0.201843,9.01791,9.87121,18.8891,1.11088,9.01791,9.87121,0.110864,0.0816359,0.352462,0.434098,0.0143258,0.391525,0.889629,1.00049,2E-05,0.889609,0.319932,0.569678,0,0.782727,0.0625006,9.1372E-07,2.35824E-08,1.73443E-13,0.36183,0,-4.74582E-13,0.109546,0.133865,0.139698,0.136304,0.132984,0.130331,0.120714,0.0965582,0.109546,0.133865,0.139698,0.136304,0.132984,0.130331,0.120714,0.0965582,1,1,0,2.0008E-07,0.782727,9.1372E-07,2.35824E-08,0.173417,0.0438547
"Risk Neutral CM 0.25 CN 0.4 FSM 2","7.338E-09","0.4211","366","DAnswers",9.1E-5,0,1,0.488615,1,1,1,1,0.110391,4.40892,2,0.860334,0.136723,0.131407,0.126659,0.122934,0.120447,0.119493,0.120219,0.122119,1,1,0.157251,0.0625009,,,0.782727,,,,,9.1372E-07,2.35824E-08,0.217272,0.201843,9.01791,9.87121,18.8891,1.11088,9.01791,9.87121,0.110864,0.0816358,0.352462,0.434098,0.0143256,0.391525,0.889629,1.00049,2E-05,0.889609,0.319932,0.569678,0,0.782727,0.0625006,9.1372E-07,2.35824E-08,1.73443E-13,0.36183,0,-4.53717E-13,0.109546,0.133865,0.139698,0.136304,0.132984,0.130331,0.120714,0.0965582,0.109546,0.133865,0.139698,0.136304,0.132984,0.130331,0.120714,0.0965582,1,1,0,0,0.782727,9.1372E-07,2.35824E-08,0.173417,0.0438547
"Risk Neutral CM 0.25 CN 0.4 FSM 2","7.338E-09","0.4211","366","Litigated",9.1E-5,0,1,0.488615,1,1,1,1,0.110391,4.40892,2,0.860334,0.136723,0.131407,0.126659,0.122934,0.120447,0.119493,0.120219,0.122119,1,1,0.157251,0.0625009,,,0.782727,,,,,9.1372E-07,2.35824E-08,0.217272,0.201843,9.01791,9.87121,18.8891,1.11088,9.01791,9.87121,0.110864,0.0816358,0.352462,0.434098,0.0143256,0.391525,0.889629,1.00049,2E-05,0.889609,0.319932,0.569678,0,0.782727,0.0625006,9.1372E-07,2.35824E-08,1.73443E-13,0.36183,0,-4.53717E-13,0.109546,0.133865,0.139698,0.136304,0.132984,0.130331,0.120714,0.0965582,0.109546,0.133865,0.139698,0.136304,0.132984,0.130331,0.120714,0.0965582,1,1,0,0,0.782727,9.1372E-07,2.35824E-08,0.173417,0.0438547
"Risk Neutral CM 0.25 CN 0.4 FSM 2","7.338E-09","0.4211","366","Not Litigated",0.9999,1,3.62498E-11,0.500001,1.812E-11,0,1,3.62498E-11,4.00164E-12,4.50001,2,0.869971,0.124999,0.124999,0.125,0.125,0.125,0.125,0.125001,0.125001,1,1,,,,,0,,,,,0,0,0,,10,9.99998,20,2.00003E-05,10,9.99998,4.53122E-13,1.157E-11,6.722E-12,1.8289E-11,1.15667E-11,6.56223E-12,2.00003E-05,2.00003E-05,2.00002E-05,3.22481E-11,1.1597399999999999E-11,2.06507E-11,0,0,,0,0,0,0.36183,0,0,0.10283,0.127186,0.135105,0.134876,0.134876,0.135106,0.127187,0.102832,0.10283,0.127186,0.135105,0.134876,0.134876,0.135106,0.127187,0.102832,1.8125E-11,0,1,1.81249E-11,0,0,0,0,0
"Risk Neutral CM 0.25 CN 0.4 FSM 2","7.338E-09","0.4211","366","Settles",7.1E-5,0,1,0.401413,1,1,1,1,0.108593,3.71131,2,0.789478,0.174605,0.167449,0.159646,0.148753,0.130338,0.102887,0.0717324,0.0445892,1,1,0.0625002,0.062501,,,1,,,,,0,0,0,,9.0125,9.88748,18.9,1.10002,9.0125,9.88748,0.1,0.0878394,0.216468,0.304307,0.00988206,0.213762,0.891427,0.991427,2E-05,0.891407,0.194163,0.697244,0,1,0.0625006,0,0,0,0.219208,0,-0.320579,0.139953,0.171023,0.178476,0.17414,0.169897,0.166509,3.53226E-07,2.63041E-07,0.138615,0.167149,0.168768,0.153124,0.131042,0.106761,0.0806973,0.0538425,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 0.25 CN 0.4 FSM 2","7.338E-09","0.4211","366","Tried",2E-05,0,1,0.802763,1,1,1,1,0.116867,6.92211,2,1.11559,0.000252057,0.00156254,0.00782182,0.0299197,0.0848136,0.179317,0.294893,0.401421,1,1,0.498591,0.0625005,,,0,,,,,0,0,1,0.201843,9.0374,9.81258,18.85,1.15002,9.0374,9.81258,0.15,0.0592873,0.842385,0.901672,0.0303337,1.03192,0.883153,1.03315,2E-05,0.883133,0.773017,0.110115,0,0,,0,0,0,0.875631,0,1.1549,1.98082E-07,2.70179E-07,2.79218E-07,2.63205E-07,2.51116E-07,1.07067E-06,0.555587,0.444411,0.00482105,0.0139563,0.0349734,0.0757114,0.139978,0.215243,0.264874,0.250443,1,1,0,0,0,0,0,0.798157,0.201843
"Risk Neutral CM 0.25 CN 0.4 FSM 2","7.338E-09","0.4211","366","PWins",4E-06,0,1,0.835897,1,1,1,1,0.117122,7.18718,1.99999,1.14075,3.37505E-05,0.00032393,0.00244325,0.0134826,0.052448,0.144781,0.297589,0.488898,1,1,0.501174,0.0625013,,,0,,,,,0,0,1,1,10.075,8.77498,18.85,1.15002,10.075,8.77498,0.15,0.29373,0,0.29373,0.150284,0,0.882898,1.0329,1.99999E-05,0.882878,0.822043,0.0608352,0,0,,0,0,0,0.93127,0,0.970628,3.69639E-07,5.33787E-07,6.17695E-07,6.60944E-07,7.12126E-07,1.39175E-06,0.528773,0.471223,0.002169,0.00764888,0.0230228,0.0587797,0.124938,0.21415,0.284994,0.284297,1,1,0,0,0,0,0,0,1
"Risk Neutral CM 0.25 CN 0.4 FSM 2","7.338E-09","0.4211","366","DWins",1.6E-5,0,1,0.794384,1,1,1,1,0.116803,6.85507,2,1.10923,0.000307264,0.00187576,0.00918199,0.0340764,0.0929983,0.18805,0.294211,0.379299,1,1,0.497938,0.0625003,,,0,,,,,0,0,1,0,8.775,10.075,18.85,1.15002,8.775,10.075,0.15,0,1.05541,1.05541,0,1.29288,0.883217,1.03322,2E-05,0.883197,0.760619,0.122578,0,0,,0,0,0,0.86156,0,1.20149,1.54698E-07,2.03517E-07,1.93621E-07,1.62622E-07,1.34533E-07,9.89476E-07,0.562368,0.43763,0.00549171,0.0155513,0.0379955,0.0799932,0.143781,0.21552,0.259786,0.241881,1,1,0,0,0,0,0,1,0
"Risk Neutral CM 0.25 CN 0.4 FSM 2","7.338E-09","0.4211","366","Abandoned",8E-11,0,1,0.355142,1,1,1,1,0.107639,3.34113,2,0.75103,0.20358,0.193284,0.178538,0.154523,0.119262,0.0795886,0.0463592,0.0248654,1,1,0.561303,0.0638404,,,0,,,,,0.97484,0.0251598,0,,8.97516,9.92482,18.9,1.10002,8.97516,9.92482,0.1,0.048612,0.138346,0.186958,0.00784046,0.144263,0.892381,0.992381,2E-05,0.892361,0.133693,0.758669,0,0,,0.97484,0.0251598,1.85045E-07,0.150813,0,-0.398302,0.163688,0.200027,0.208744,0.203672,0.19871,2.15765E-07,0.0134834,0.0116766,0.158657,0.188052,0.183818,0.158135,0.125994,0.0951884,0.0567929,0.0333629,1,1,0,0,0,0.97484,0.0251598,0,0
"Risk Neutral CM 0.25 CN 0.4 FSM 2","7.338E-09","0.4211","366","PrecPower1",0.125,0.999901,9.90748E-05,0.0625,9.9075E-5,9.90747E-05,1,9.90748E-05,1.03107E-05,1,2,0.493938,1,0,0,0,0,0,0,0,1,1,0.0626612,0.0625008,,,9.90349E-05,,,,,1.38265E-10,7.94325E-15,3.968E-8,0.0270268,9.9999,9.99997,19.9999,0.000128984,9.9999,9.99997,9.90946E-06,1.1143E-5,0,1.11428E-5,1.25506E-06,0,0.000108764,0.000118674,2.00002E-05,8.87641E-05,0,8.87641E-05,0,9.90349E-5,0.0625004,1.38265E-10,7.94325E-15,2.76576E-17,0,0,0.936707,0.224523,0.243921,0.207842,0.14645,0.0898709,0.0498811,0.0255099,0.0120031,0.394013,0.326144,0.184955,0.0718393,0.0191032,0.00347591,0.000432514,3.67813E-05,9.90747E-5,9.90747E-05,0.999901,1.98229E-11,9.90349E-05,1.38265E-10,7.94325E-15,3.86123E-8,1.0726E-9
"Risk Neutral CM 0.25 CN 0.4 FSM 2","7.338E-09","0.4211","366","PrecPower2",0.125,0.999905,9.52226E-05,0.1875,9.5223E-5,9.52226E-05,1,9.52226E-05,1.00137E-05,2,2,0.609444,0,1,0,0,0,0,0,0,1,1,0.0635428,0.0625008,,,9.49764E-05,,,,,1.31231E-10,4.91274E-14,2.46E-07,0.041844,9.99991,9.99997,19.9999,0.000124757,9.99991,9.99997,9.53456E-06,1.0698E-5,0,1.06975E-5,1.21753E-06,0,0.000105209,0.000114744,2.00002E-05,8.52089E-05,0,8.52089E-05,0,9.49764E-5,0.0625004,1.31231E-10,4.91274E-14,2.62178E-17,0,0,0.708284,0.194116,0.219715,0.199291,0.153453,0.105572,0.0669773,0.0395242,0.0213507,0.245941,0.29712,0.245941,0.139472,0.054173,0.0144054,0.00262113,0.000326153,9.52226E-5,9.52226E-05,0.999905,1.90521E-11,9.49764E-05,1.31231E-10,4.91274E-14,2.35718E-7,1.0294E-8
"Risk Neutral CM 0.25 CN 0.4 FSM 2","7.338E-09","0.4211","366","PrecPower3",0.125,0.999908,9.17824E-05,0.3125,9.1782E-5,9.17824E-05,1,9.17824E-05,9.8111E-06,3,2,0.721259,0,0,1,0,0,0,0,0,1,1,0.0679673,0.0625008,,,9.05508E-05,,,,,1.2102E-10,2.4363E-13,1.231E-6,0.0630483,9.99991,9.99997,19.9999,0.000121022,9.99991,9.99997,9.23981E-06,1.0282E-5,0,1.02821E-5,1.26258E-06,0,0.000101972,0.000111211,2.00002E-05,8.19713E-05,0,8.19713E-05,0,9.05508E-5,0.0625004,1.2102E-10,2.4363E-13,2.40267E-17,0,0,0.437037,0.153946,0.184877,0.182932,0.158248,0.125175,0.0924008,0.0633465,0.0390748,0.122436,0.2159,0.260827,0.2159,0.122435,0.0475558,0.0126458,0.00230096,9.17824E-5,9.17824E-05,0.999908,1.83638E-11,9.05508E-05,1.2102E-10,2.4363E-13,1.15386E-6,7.7644E-8
"Risk Neutral CM 0.25 CN 0.4 FSM 2","7.338E-09","0.4211","366","PrecPower4",0.125,0.999911,8.9083E-05,0.4375,8.9083E-5,8.9083E-05,1,8.9083E-05,9.73229E-06,4,2,0.829116,0,0,0,1,0,0,0,0,1,1,0.0843281,0.0625008,,,8.43722E-05,,,,,1.04055E-10,8.98427E-13,4.711E-6,0.0909557,9.99991,9.99997,19.9999,0.000118227,9.99991,9.99997,9.14383E-06,1.0017E-5,8.465E-12,1.00168E-5,1.71081E-06,1.02144E-11,9.9351E-05,0.000108495,2.00002E-05,7.93507E-05,1.9783400000000003E-11,7.93507E-05,0,8.43722E-5,0.0625004,1.04055E-10,8.98427E-13,2.01817E-17,2.44284E-07,0,0.146659,0.109092,0.141948,0.157033,0.156099,0.144141,0.12449,0.0986536,0.0685435,0.045497,0.117135,0.206552,0.249535,0.206552,0.117134,0.0454967,0.0120983,8.9083E-05,8.9083E-05,0.999911,1.78237E-11,8.43722E-05,1.04055E-10,8.98427E-13,4.28221E-6,4.2846E-7
"Risk Neutral CM 0.25 CN 0.4 FSM 2","7.338E-09","0.4211","366","PrecPower5",0.125,0.999913,8.72807E-05,0.5625,8.7281E-5,8.72807E-05,1,8.72807E-05,9.76434E-06,5,2,0.932738,0,0,0,0,1,0,0,0,1,1,0.126683,0.0625008,,,7.39272E-05,,,,,7.87035E-11,2.30032E-12,1.335E-5,0.124818,9.99991,9.99997,19.9999,0.000116677,9.99991,9.99997,9.39574E-06,1.0359E-5,1.926E-11,1.03586E-5,3.4368E-06,2.29755E-11,9.75166E-05,0.000106912,2.00002E-05,7.75164E-05,3.7408000000000005E-11,7.75164E-05,0,7.39272E-5,0.0625005,7.87035E-11,2.30032E-12,1.43483E-17,4.73913E-07,0,-0.146651,0.0685432,0.0986536,0.12449,0.144141,0.156099,0.157032,0.141948,0.109093,0.0120984,0.0454971,0.117135,0.206552,0.249534,0.206552,0.117134,0.0454967,8.72807E-5,8.72807E-05,0.999913,1.74631E-11,7.39272E-05,7.87035E-11,2.30032E-12,1.16867E-5,1.6667E-6
"Risk Neutral CM 0.25 CN 0.4 FSM 2","7.338E-09","0.4211","366","PrecPower6",0.125,0.999913,8.65893E-05,0.6875,8.6589E-5,8.65893E-05,1,8.65893E-05,9.89252E-06,6,2,1.03184,0,0,0,0,0,1,0,0,1,1,0.201892,0.0625009,,,5.83569E-05,,,,,5.00824E-11,3.97473E-12,2.823E-5,0.162969,9.99991,9.99997,19.9999,0.00011666,9.99991,9.99997,1.00705E-05,1.0352E-6,8.6576E-5,8.7611E-05,2.32926E-07,9.23688E-05,9.6697E-05,0.000106768,2.00002E-05,7.66968E-05,7.66968E-05,5.28025E-11,0,5.83569E-5,0.0625007,5.00824E-11,3.97473E-12,8.12877E-18,0.999999,0,-0.437032,0.0390747,0.0633465,0.092401,0.125176,0.158248,0.182931,0.184877,0.153946,0.00230099,0.0126459,0.0475561,0.122436,0.2159,0.260827,0.215899,0.122435,8.65893E-5,8.65893E-05,0.999913,1.73248E-11,5.83569E-05,5.00824E-11,3.97473E-12,2.36313E-5,4.601E-06
"Risk Neutral CM 0.25 CN 0.4 FSM 2","7.338E-09","0.4211","366","PrecPower7",0.125,0.999913,8.71152E-05,0.8125,8.7115E-5,8.71152E-05,1,8.71152E-05,1.01057E-05,7,2,1.12613,0,0,0,0,0,0,1,0,1,1,0.295094,0.062501,,,4.06862E-05,,,,,2.66252E-11,4.86224E-12,4.643E-5,0.203688,9.99992,9.99997,19.9999,0.000118148,9.99992,9.99997,1.1033E-05,2.1278E-6,8.5468E-5,8.7596E-05,4.78762E-07,9.51563E-05,9.70098E-05,0.000108043,2.00002E-05,7.70095E-05,7.70095E-05,3.78154E-11,0,4.06862E-5,0.0625012,2.66252E-11,4.86224E-12,3.69070E-18,0.999999,0,-0.708283,0.0213507,0.0395242,0.0669776,0.105573,0.153453,0.199291,0.219715,0.194116,0.000326158,0.00262117,0.0144056,0.0541734,0.139472,0.245941,0.29712,0.24594,8.71152E-5,8.71152E-05,0.999913,1.743E-11,4.06862E-05,2.66252E-11,4.86224E-12,3.69719E-5,9.457E-06
"Risk Neutral CM 0.25 CN 0.4 FSM 2","7.338E-09","0.4211","366","PrecPower8",0.125,0.999912,8.84916E-05,0.9375,8.8492E-5,8.84916E-05,1,8.84916E-05,1.03632E-05,8,2,1.2153,0,0,0,0,0,0,0,1,1,1,0.38077,0.062501,,,2.52907E-05,,,,,1.21364E-11,4.75227E-12,6.32E-05,0.245828,9.99992,9.99996,19.9999,0.000120501,9.99992,9.99996,1.20092E-05,3.4957E-6,8.3363E-5,8.6859E-05,7.86538E-07,9.61886E-05,9.81286E-05,0.000110138,2.00002E-05,7.81284E-05,7.81284E-05,3.73999E-11,0,2.52907E-5,0.0625023,1.21364E-11,4.75227E-12,1.4322E-18,0.999999,0,-0.936712,0.0120031,0.02551,0.0498814,0.0898715,0.146451,0.207842,0.24392,0.224521,3.67821E-05,0.000432521,0.00347595,0.0191033,0.0718397,0.184955,0.326144,0.394012,8.84916E-5,8.84916E-05,0.999912,1.77054E-11,2.52907E-05,1.21364E-11,4.75227E-12,4.76644E-5,1.5537E-5
"Risk Neutral CM 0.25 CN 0.4 FSM 2","7.338E-09","0.4211","366","PrecLevel0",4E-07,0.999945,5.49995E-05,0.5,5.4999E-5,5.49995E-05,0.5,5.49995E-05,4.9995E-06,4.5,0,1.06943,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,1,0.937499,0.492147,,,1.26509E-05,,,,,1.65155E-12,1.54122E-17,4.235E-5,0.644814,9.99998,9.99946,19.9994,0.000562617,9.99998,9.99946,7.61738E-06,1.7036E-5,7.7031E-6,2.47393E-5,1.71188E-05,7.86864E-06,0.00055,0.000557617,0.0005,5E-05,3.10931E-05,1.89069E-05,0,1.26509E-5,0.937498,1.65155E-12,1.54122E-17,8.8105E-25,0.621863,0,-2.80977E-14,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,5.49995E-5,5.49995E-05,0.999945,1.10043E-11,1.26509E-05,1.65155E-12,1.54122E-17,1.50416E-5,2.7307E-5
