Width,Precaution,TLHarm,TNLHarm,File,Answer,Bargain,Trial,Total
0.000004755,2.4E-05,0,0,0.025,0.025,0.05,0,0.100024
0.000037343,2.4E-05,0,1,0.025,0.025,0.05,0,1.100024
0.000000097,2.4E-05,1,0,0.025,0.025,0.05,0,1.100024
0.000000234,2.4E-05,0,0,0.025,0.025,0.05,0.05,0.150024
0.000001768,2.4E-05,0,1,0.025,0.025,0.05,0.05,1.150024
0.000000019,2.4E-05,1,0,0.025,0.025,0.05,0.05,1.150024
0.499955684,2.4E-05,0,0,0,0,0,0,2.4E-05
0.000003302,4E-05,0,0,0.025,0.025,0.05,0,0.10004
0.000015858,4E-05,0,1,0.025,0.025,0.05,0,1.10004
0.000000483,4E-05,0,0,0.025,0.025,0.05,0.05,0.15004
0.000002696,4E-05,0,1,0.025,0.025,0.05,0.05,1.15004
0.376339713,4E-05,0,0,0,0,0,0,4E-05
0.000001239,4.8E-05,0,0,0.025,0.025,0.05,0,0.100048
0.000005668,4.8E-05,0,1,0.025,0.025,0.05,0,1.100048
0.123631140,4.8E-05,0,0,0,0,0,0,4.8E-05
