"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 0.25 LT 0 DM 0.5","0","138","All",1,0.99989,0.000109999,0.5,0.00011,4.33818E-11,1,0.000109999,9.999E-06,4.5,5.60224E-06,1.02079,0.125001,0.125,0.124999,0.124999,0.124999,0.124999,0.125,0.125001,1,1,0.857738,0.833328,,,3.65229E-11,,,,,1.37232E-18,3.21966E-17,6.86E-12,0.780576,9.99994,9.99995,19.9999,0.000112749,9.99994,9.99995,2.74998E-06,0,5.7749E-5,5.77495E-5,0,3.03185E-05,0.0001,0.00010275,2.56102E-10,9.99999E-05,9.99999E-05,0,0,3.6523E-11,0.431804,1.37232E-18,3.21966E-17,6.4419E-24,1,0,-5.0344E-15,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.00011,4.33818E-11,0.99989,0.000109999,3.65229E-11,1.37232E-18,3.21966E-17,1.505E-12,5.354E-12
"Risk Neutral CM 0.25 LT 0 DM 0.5","0","138","NoDispute",0.9999,1,0,0.5,0,0,1,0,0,4.5,5.60246E-06,1.02079,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,1,,,,,0,,,,,0,0,0,,10,10,20,2.56127E-10,10,10,0,0,0,0,0,0,2.56127E-10,2.56127E-10,2.56127E-10,0,0,0,0,0,,0,0,0,,0,0,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 0.25 LT 0 DM 0.5","0","138","DisputeArises",0.0001,0,1,0.499997,1,3.94383E-07,1,1,0.0909009,4.49998,3.62896E-06,1.01962,0.136678,0.127452,0.119703,0.116175,0.116171,0.119696,0.127447,0.136679,1,1,0.857738,0.833328,,,3.3203E-07,,,,,1.24757E-14,2.92699E-13,6.235E-8,0.780576,9.475,9.5,18.975,1.025,9.475,9.5,0.025,0,0.525,0.525,0,0.275625,0.909099,0.934099,3.62896E-11,0.909099,0.909099,0,0,3.3203E-07,0.431804,1.24757E-14,2.92699E-13,5.85633E-20,1,0,-1.34649E-13,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1,3.94383E-07,2.0008E-07,0.999999,3.3203E-07,1.24757E-14,2.92699E-13,1.36818E-8,4.8672E-8
"Risk Neutral CM 0.25 LT 0 DM 0.5","0","138","PFiles",0.0001,0,1,0.499997,1,3.94384E-07,1,1,0.0909009,4.49998,3.62896E-06,1.01962,0.136678,0.127452,0.119703,0.116175,0.116171,0.119696,0.127447,0.136679,1,1,0.857738,0.833328,,,3.3203E-07,,,,,1.24757E-14,2.92699E-13,6.235E-8,0.780576,9.475,9.5,18.975,1.025,9.475,9.5,0.025,0,0.525,0.525,0,0.275625,0.909099,0.934099,3.62896E-11,0.909099,0.909099,0,0,3.3203E-07,0.431804,1.24757E-14,2.92699E-13,5.85633E-20,1,0,-1.19796E-13,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,1,3.94384E-07,0,1,3.3203E-07,1.24757E-14,2.92699E-13,1.36819E-8,4.8672E-8
"Risk Neutral CM 0.25 LT 0 DM 0.5","0","138","DAnswers",4E-11,0,1,0.441067,1,1,1,1,0.121494,4.02854,3.23956,0.602925,0.174584,0.155029,0.137433,0.123562,0.111626,0.102386,0.098142,0.0972382,1,1,0.857738,0.833328,,,0.841895,,,,,3.16335E-08,7.4217E-07,0.158104,0.780576,9.37129,9.52078,18.8921,1.10794,9.37129,9.52078,0.107905,0,0.628713,0.628713,0,0.404703,0.878538,0.986444,3.23956E-05,0.878506,0.878506,0,0,0.841895,0.431804,3.16335E-08,7.4217E-07,1.48493E-13,1,0,0.0851213,0.126228,0.151429,0.152909,0.141537,0.128807,0.117479,0.102654,0.0789558,0.127342,0.154002,0.158094,0.150689,0.142914,0.101069,0.0925148,0.073376,1,1,0,0,0.841895,3.16335E-08,7.4217E-07,0.0346917,0.123412
"Risk Neutral CM 0.25 LT 0 DM 0.5","0","138","Litigated",4E-11,0,1,0.441067,1,1,1,1,0.121494,4.02854,3.23956,0.602925,0.174584,0.155029,0.137433,0.123562,0.111626,0.102386,0.098142,0.0972382,1,1,0.857738,0.833328,,,0.841895,,,,,3.16335E-08,7.4217E-07,0.158104,0.780576,9.37129,9.52078,18.8921,1.10794,9.37129,9.52078,0.107905,0,0.628713,0.628713,0,0.404703,0.878538,0.986444,3.23956E-05,0.878506,0.878506,0,0,0.841895,0.431804,3.16335E-08,7.4217E-07,1.48493E-13,1,0,0.0851213,0.126228,0.151429,0.152909,0.141537,0.128807,0.117479,0.102654,0.0789558,0.127342,0.154002,0.158094,0.150689,0.142914,0.101069,0.0925148,0.073376,1,1,0,0,0.841895,3.16335E-08,7.4217E-07,0.0346917,0.123412
"Risk Neutral CM 0.25 LT 0 DM 0.5","0","138","Not Litigated",1,0.99989,0.000109999,0.5,0.00011,0,1,0.000109999,9.99899E-06,4.5,5.6021E-06,1.02079,0.125001,0.125,0.124999,0.124999,0.124999,0.124999,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99994,9.99995,19.9999,0.000112749,9.99994,9.99995,2.74997E-06,0,5.7749E-5,5.77494E-5,0,3.03185E-05,0.0001,0.00010275,2.56101E-10,9.99999E-05,9.99999E-05,0,0,0,,0,0,0,1,0,-3.69365E-12,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.00011,0,0.99989,0.000109999,0,0,0,0,0
"Risk Neutral CM 0.25 LT 0 DM 0.5","0","138","Settles",4E-11,0,1,0.426131,1,1,1,1,0.112165,3.90905,2.60031,0.675063,0.18159,0.167273,0.147649,0.12467,0.102907,0.0903683,0.0898044,0.0957386,1,1,0.863226,0.863988,,,1,,,,,0,0,0,,9.3818,9.51817,18.9,1.10003,9.3818,9.51817,0.1,0,0.618196,0.618196,0,0.384619,0.887861,0.987861,2.60031E-05,0.887835,0.887835,0,0,1,0.431804,0,0,0,1,0,-0.212708,0.136997,0.167082,0.172215,0.162782,0.121799,0.0868566,0.0835853,0.0686839,0.103282,0.172677,0.169601,0.150266,0.129371,0.099796,0.0878523,0.0871555,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 0.25 LT 0 DM 0.5","0","138","Tried",7E-12,0,1,0.5206,1,1,1,1,0.171171,4.6648,6.64354,0.218792,0.137277,0.089831,0.0830307,0.117663,0.158054,0.166381,0.142539,0.105223,1,1,0.828512,0.67007,,,0,,,,,0,0,1,0.780576,9.31529,9.53465,18.8499,1.15007,9.31529,9.53465,0.15,0,0.684712,0.684712,0,0.51165,0.828895,0.978895,6.64354E-05,0.828829,0.828829,0,0,0,,0,0,0,1,0,1.67105,0.0688864,0.0680787,0.0501089,0.0284095,0.166125,0.280543,0.204196,0.133653,0.25546,0.0545571,0.0968224,0.152938,0.215034,0.107847,0.117342,1.8138E-07,1,1,0,0,0,0,0,0.219424,0.780576
"Risk Neutral CM 0.25 LT 0 DM 0.5","0","138","PWins",5E-12,0,1,0.542838,1,1,1,1,0.173361,4.84271,6.59168,0.234658,0.112361,0.0781922,0.0808674,0.122456,0.167678,0.176817,0.150785,0.110843,1,1,0.840228,0.687819,,,0,,,,,0,0,1,1,9.425,9.42493,18.8499,1.15007,9.425,9.42493,0.15,0,0.575,0.575,0,0.330625,0.826705,0.976705,6.59168E-05,0.826639,0.826639,0,0,0,,0,0,0,1,0,1.69649,0.0556598,0.055317,0.0410671,0.0235796,0.182472,0.287912,0.213074,0.140918,0.214233,0.0567789,0.102617,0.165066,0.235997,0.107031,0.118277,1.83344E-07,1,1,0,0,0,0,0,0,1
