"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 1 TIME 1 UPC 8E-06","0","40","All",1,0.999937,6.32063E-05,0.500001,8.087E-11,1.91581E-11,1,6.32063E-05,9.99947E-06,3,4,0.680208,0.2,0.199999,0.199999,0.2,0.200002,1,1,0.369664,0.135771,,,1.09034E-11,,,,,2.67857E-19,6.05415E-19,8.25E-12,0.38275,9.99994,9.99997,19.9999,9.52065E-05,9.99994,9.99997,2.38367E-11,1.07E-11,1.0793E-5,1.07928E-5,7.4507E-12,1.07928E-05,8.5207E-05,8.52071E-05,3.20002E-05,5.32069E-05,8.6424E-06,4.45645E-05,0,1.0903E-11,0.100001,2.67857E-19,6.05415E-19,1.65632E-30,0.170755,0,0,0.176198,0.21568,0.216243,0.21568,0.176198,0.176198,0.21568,0.216243,0.21568,0.176198,8.0867E-11,1.91581E-11,1,6.1709E-11,1.09034E-11,2.67857E-19,6.05415E-19,5.0952E-12,3.159E-12
"Risk Neutral CM 1 TIME 1 UPC 8E-06","0","40","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,3.00002,4,0.680211,0.199996,0.199998,0.2,0.200002,0.200004,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,3.20002E-05,10,9.99997,0,0,0,0,0,0,3.20002E-05,3.20002E-05,3.20002E-05,0,0,0,0,0,,0,0,0,,0,0,0.176196,0.215678,0.216243,0.215682,0.176201,0.176196,0.215678,0.216243,0.215682,0.176201,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 1 TIME 1 UPC 8E-06","0","40","DisputeArises",6.3E-5,0,1,0.454845,1.2794E-6,3.03105E-07,1,1,0.158204,2.77422,4,0.639051,0.259785,0.216848,0.183479,0.169133,0.170755,1,1,0.369664,0.135771,,,1.72505E-07,,,,,4.23782E-15,9.57839E-15,1.306E-7,0.38275,9,9.99997,19,1.00003,9,9.99997,3.77125E-07,1.6921E-7,0.170755,0.170755,1.17879E-07,0.170755,0.841828,0.841829,3.2E-05,0.841796,0.136733,0.705063,0,1.72505E-7,0.100001,4.23782E-15,9.57839E-15,2.62049E-26,0.170755,0,-7.15332E-15,0.215069,0.244791,0.21592,0.186399,0.137821,0.215069,0.244791,0.21592,0.186399,0.137821,1.27942E-6,3.03105E-07,0.999999,9.76311E-07,1.72505E-07,4.23782E-15,9.57839E-15,8.06127E-8,4.9987E-8
"Risk Neutral CM 1 TIME 1 UPC 8E-06","0","40","PFiles",8E-11,0,1,0.49208,1,0.236909,1,1,0.119341,2.9604,1.67427,1.55646,0.216218,0.201527,0.190852,0.188444,0.202959,1,1,0.369664,0.135771,,,0.134831,,,,,3.31231E-09,7.48654E-09,0.102078,0.38275,9.59195,9.11327,18.7052,1.29478,9.59195,9.11327,0.294763,0.132255,0.194662,0.326917,0.0921351,0.0858048,0.880673,1.17544,1.33942E-05,0.880659,0.688536,0.192123,0,0.134831,0.100001,3.31231E-09,7.48654E-09,2.0482E-20,0.77714,0,0.0291556,0.163095,0.235389,0.223656,0.211181,0.16668,0.183073,0.222618,0.21816,0.209728,0.166421,1,0.236909,0,0.763091,0.134831,3.31231E-09,7.48654E-09,0.0630074,0.0390702
"Risk Neutral CM 1 TIME 1 UPC 8E-06","0","40","DAnswers",2E-11,0,1,0.4314,1,1,1,1,0.150514,2.657,3.6601,0.749861,0.245542,0.255612,0.219745,0.154506,0.124596,1,1,0.369664,0.135771,,,0.569126,,,,,1.39814E-08,3.1601E-08,0.430874,0.38275,8.92183,9.47814,18.4,1.60003,8.92183,9.47814,0.6,0.351466,0.218826,0.570293,0.182119,0.241615,0.849515,1.44952,2.92808E-05,0.849486,0.221636,0.627849,0,0.569126,0.100001,1.39814E-08,3.1601E-08,8.64551E-20,0.266086,0,0.245282,0.141968,0.312669,0.248548,0.181013,0.115803,0.226294,0.281673,0.278015,0.123042,0.0909758,1,1,0,0,0.569126,1.39814E-08,3.1601E-08,0.265957,0.164917
"Risk Neutral CM 1 TIME 1 UPC 8E-06","0","40","Litigated",2E-11,0,1,0.4314,1,1,1,1,0.150514,2.657,3.6601,0.749861,0.245542,0.255612,0.219745,0.154506,0.124596,1,1,0.369664,0.135771,,,0.569126,,,,,1.39814E-08,3.1601E-08,0.430874,0.38275,8.92183,9.47814,18.4,1.60003,8.92183,9.47814,0.6,0.351466,0.218826,0.570293,0.182119,0.241615,0.849515,1.44952,2.92808E-05,0.849486,0.221636,0.627849,0,0.569126,0.100001,1.39814E-08,3.1601E-08,8.64551E-20,0.266086,0,0.245282,0.141968,0.312669,0.248548,0.181013,0.115803,0.226294,0.281673,0.278015,0.123042,0.0909758,1,1,0,0,0.569126,1.39814E-08,3.1601E-08,0.265957,0.164917
"Risk Neutral CM 1 TIME 1 UPC 8E-06","0","40","Not Litigated",1,0.999937,6.32063E-05,0.500001,6.171E-11,0,1,6.32063E-05,9.99946E-06,3,4,0.680208,0.2,0.199999,0.199999,0.2,0.200002,1,1,,,,,0,,,,,0,0,0,,9.99994,9.99997,19.9999,9.52065E-05,9.99994,9.99997,1.23418E-11,3.962E-12,1.0793E-5,1.07928E-5,3.96163E-12,1.07928E-05,8.5207E-05,8.5207E-05,3.20002E-05,5.32068E-05,8.64239E-06,4.45645E-05,0,0,,0,0,0,0.170755,0,-4.69825E-12,0.176198,0.21568,0.216243,0.21568,0.176198,0.176198,0.21568,0.216243,0.21568,0.176198,6.1709E-11,0,1,6.1709E-11,0,0,0,0,0
"Risk Neutral CM 1 TIME 1 UPC 8E-06","0","40","Settles",1E-11,0,1,0.396731,1,1,1,1,0.151161,2.48366,4,0.582568,0.301273,0.250639,0.203658,0.152021,0.0924097,1,1,0.100001,0.100002,,,1,,,,,0,0,0,,8.8,9.59997,18.4,1.60003,8.8,9.59997,0.6,0.363036,0.110892,0.473928,0.145215,0.13307,0.848871,1.44887,3.2E-05,0.848839,0.0747157,0.774123,0,1,0.100001,0,0,0,0.0924107,0,-0.143693,0.249448,0.283921,0.250435,0.216195,3.89327E-07,0.247724,0.275578,0.223057,0.159185,0.0944561,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 1 TIME 1 UPC 8E-06","0","40","Tried",8E-12,0,1,0.477194,1,1,1,1,0.14966,2.88597,3.21114,0.970833,0.171929,0.262181,0.240993,0.157788,0.167109,1,1,0.725852,0.183018,,,0,,,,,0,0,1,0.38275,9.08275,9.31722,18.4,1.60003,9.08275,9.31722,0.6,0.336184,0.361393,0.697577,0.230865,0.384989,0.850366,1.45037,2.56891E-05,0.85034,0.415699,0.434641,0,0,,0,0,0,0.495489,0,0.759065,3.10326E-07,0.35064,0.246054,0.134543,0.268762,0.197989,0.289722,0.350607,0.0753033,0.0863789,1,1,0,0,0,0,0,0.61725,0.38275
"Risk Neutral CM 1 TIME 1 UPC 8E-06","0","40","PWins",3E-12,0,1,0.543038,1,1,1,1,0.145519,3.21519,3.0735,1.12126,0.0416616,0.209326,0.375139,0.239908,0.133966,1,1,0.771854,0.225231,,,0,,,,,0,0,1,1,9.7,8.69998,18.4,1.60002,9.7,8.69998,0.6,0.561288,0.221614,0.782901,0.50806,0.0664841,0.854506,1.45451,2.4588E-05,0.854481,0.62803,0.226451,0,0,,0,0,0,0.738712,0,0.806674,1.76506E-08,0.256017,0.30311,0.240434,0.200439,0.115683,0.290617,0.530231,0.0263301,0.0371379,1,1,0,0,0,0,0,0,1
