Width,Precaution,TLHarm,TNLHarm,File,Answer,Bargain,Trial,Total
0.000001436,3E-05,0,0,0.025,0.025,0.05,0,0.10003
0.000009840,3E-05,0,1,0.025,0.025,0.05,0,1.10003
0.000000132,3E-05,1,0,0.025,0.025,0.05,0,1.10003
0.000000295,3E-05,0,0,0.025,0.025,0.05,0.05,0.15003
0.000000246,3E-05,0,1,0.025,0.025,0.05,0.05,1.15003
0.000001288,3E-05,1,0,0.025,0.025,0.05,0.05,1.15003
0.173004037,3E-05,0,0,0,0,0,0,3E-05
0.000008269,4E-05,0,0,0.025,0.025,0.05,0,0.10004
0.000042693,4E-05,0,1,0.025,0.025,0.05,0,1.10004
0.826931764,4E-05,0,0,0,0,0,0,4E-05
